DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
542,CORONA,2008,0.448,0,0.019058525
542,CORONA,2009,0.435,0,0.018599388
542,CORONA,2010,0.537,0,0.019884575
542,CORONA,2011,0.536,0,0.017688713
542,MILLER,2006,0.451,0,0.1012938
542,MILLER,2007,0.485,0,0.106780075
542,MILLER,2008,0.448,0,0.118274163
542,MILLER,2009,0.435,0,0.114908713
542,MILLER,2010,0.537,0,0.116713963
542,MILLER,2011,0.536,0,0.114733913
542,OTHERBEER,2006,0.451,0,0.223493538
542,OTHERBEER,2007,0.485,0,0.233589688
542,OTHERBEER,2008,0.448,0,0.255901363
542,OTHERBEER,2009,0.435,0,0.262969613
542,OTHERBEER,2010,0.537,0,0.274798788
542,OTHERBEER,2011,0.536,0,0.273754625
544,BUDWEISER,2006,0.471,0,0.759327975
544,BUDWEISER,2007,0.428,0,0.760481388
544,BUDWEISER,2008,0.481,0,0.782830975
544,BUDWEISER,2009,0.526,0,0.884727075
544,BUDWEISER,2010,0.531,0,0.874172988
544,BUDWEISER,2011,0.542,0,0.868755425
544,COORS,2006,0.471,0,0.152715963
544,COORS,2007,0.428,0,0.157676125
544,COORS,2008,0.481,0,0.181642338
544,COORS,2009,0.526,0,0.196863725
544,COORS,2010,0.531,0,0.193311938
544,COORS,2011,0.542,0,0.205041175
544,CORONA,2006,0.471,0,0.18318635
544,CORONA,2007,0.428,0,0.176300563
544,CORONA,2008,0.481,0,0.183061988
544,CORONA,2009,0.526,0,0.157866863
544,CORONA,2010,0.531,0,0.152549313
544,CORONA,2011,0.542,0,0.146630688
544,MILLER,2006,0.471,0,0.327605838
544,MILLER,2007,0.428,0,0.333159663
544,MILLER,2008,0.481,0,0.349705888
544,MILLER,2009,0.526,0,0.376908275
544,MILLER,2010,0.531,0,0.352756163
544,MILLER,2011,0.542,0,0.337196725
544,OTHERBEER,2006,0.471,0,0.985561688
544,OTHERBEER,2007,0.428,0,1.026966188
544,OTHERBEER,2008,0.481,0,1.066610563
544,OTHERBEER,2009,0.526,0,1.04083845
544,OTHERBEER,2010,0.531,0,1.033008
544,OTHERBEER,2011,0.542,0,1.026412663
548,BUDWEISER,2006,0.404,0,0.384898663
548,BUDWEISER,2007,0.443,0,0.43419155
